"ID","Treatment","AUC"
"OP20_1","OP_turnover",6358.33333333333
"OP20_3","OP_turnover",15691.6666666667
"OP20_5","OP_turnover",11841.6666666667
"OP20_7","OP_turnover",3383.33333333333
"OP20_9","OP_turnover",9275
"OP20_2","OP20",14000
"OP20_4","OP20",17850
"OP20_6","OP20",21233.3333333333
"OP20_8","OP20",17500
"OP20_10","OP20",13358.3333333333
"OPd_1","OPdeltaT_turnover",5425
"OPd_3","OPdeltaT_turnover",2391.66666666667
"OPd_5","OPdeltaT_turnover",2858.33333333333
"OPd_7","OPdeltaT_turnover",2975
"OPd_9","OPdeltaT_turnover",2566.66666666667
"OPd_2","OPdeltaT",4783.33333333333
"OPd_4","OPdeltaT",10616.6666666667
"OPd_6","OPdeltaT",5366.66666666667
"OPd_8","OPdeltaT",2100
"OPd_10","OPdeltaT",16158.3333333333
