datetime	wtr_0	wtr_1	wtr_2	wtr_3	wtr_4	wtr_5
2021-06-14 14:05:00		26.638	22.295	18.176	13.843	10.497
2021-06-14 14:10:00		26.638	22.305	18.144	13.908	10.486
2021-06-14 14:15:00		26.606	22.305	18.048	13.918	10.465
2021-06-14 14:20:00		26.595	22.252	17.951	13.908	10.379
2021-06-14 14:25:00		26.671	22.316	17.919	13.822	10.325
2021-06-14 14:30:00		26.692	22.316	18.015	13.822	10.379
2021-06-14 14:35:00		26.692	22.348	18.005	13.79	10.422
2021-06-14 14:40:00		26.671	22.348	17.972	13.8	10.465
2021-06-14 14:45:00		26.649	22.423	17.972	13.897	10.529
2021-06-14 14:50:00		26.628	22.445	17.876	13.94	10.54
2021-06-14 14:55:00		26.649	22.52	17.876	14.015	10.508
2021-06-14 15:00:00		26.692	22.584	17.812	13.961	10.519
2021-06-14 15:05:00		26.746	22.649	17.79	13.876	10.508
2021-06-14 15:10:00		26.724	22.498	17.812	13.811	10.508
2021-06-14 15:15:00		26.713	22.456	17.79	13.822	10.486
2021-06-14 15:20:00		26.81	22.52	17.855	13.79	10.497
2021-06-14 15:25:00		26.831	22.563	17.919	13.779	10.508
2021-06-14 15:30:00		26.778	22.498	17.897	13.822	10.508
2021-06-14 15:35:00		26.767	22.434	17.897	13.811	10.54
2021-06-14 15:40:00		26.756	22.434	17.897	13.865	10.486
2021-06-14 15:45:00		26.81	22.52	17.887	13.865	10.54
2021-06-14 15:50:00		26.81	22.584	17.919	13.79	10.551
2021-06-14 15:55:00		26.831	22.659	17.951	13.725	10.572
2021-06-14 16:00:00		26.842	22.659	17.972	13.629	10.561
2021-06-14 16:05:00		26.831	22.584	17.983	13.607	10.497
2021-06-14 16:10:00		26.789	22.445	17.962	13.607	10.39
2021-06-14 16:15:00		26.831	22.466	17.951	13.65	10.433
2021-06-14 16:20:00		26.831	22.477	18.026	13.65	10.551
2021-06-14 16:25:00		26.896	22.541	18.09	13.64	10.626
2021-06-14 16:30:00		26.896	22.477	18.09	13.629	10.658
2021-06-14 16:35:00		26.939	22.52	18.058	13.586	10.594
2021-06-14 16:40:00		26.949	22.552	18.026	13.554	10.594
2021-06-14 16:45:00		26.896	22.574	17.983	13.586	10.572
2021-06-14 16:50:00		26.864	22.659	18.048	13.607	10.508
2021-06-14 16:55:00		26.853	22.681	18.058	13.586	10.54
2021-06-14 17:00:00		26.874	22.659	18.09	13.629	10.572
2021-06-14 17:05:00		26.917	22.606	18.09	13.607	10.594
2021-06-14 17:10:00		26.971	22.595	18.08	13.629	10.508
2021-06-14 17:15:00		26.917	22.541	18.09	13.747	10.497
2021-06-14 17:20:00		26.874	22.488	18.069	13.768	10.497
2021-06-14 17:25:00		26.842	22.552	18.069	13.725	10.443
2021-06-14 17:30:00		26.81	22.563	18.058	13.715	10.422
2021-06-14 17:35:00		26.821	22.552	18.037	13.758	10.401
2021-06-14 17:40:00		26.874	22.606	18.048	13.8	10.347
2021-06-14 17:45:00		26.928	22.681	18.08	13.843	10.293
2021-06-14 17:50:00		26.917	22.702	18.09	13.918	10.283
2021-06-14 17:55:00		26.939	22.713	18.123	13.94	10.261
2021-06-14 18:00:00		26.96	22.638	18.09	13.951	10.24
